2024-11-09 13:20:14,670 - Method: GET, Path: /, Status Code: 200, Response Time: 0.857 seconds, Client IP: 127.0.0.1
2024-11-09 13:20:16,554 - Method: GET, Path: /, Status Code: 200, Response Time: 0.841 seconds, Client IP: 127.0.0.1
2024-11-09 13:20:18,506 - Method: GET, Path: /, Status Code: 200, Response Time: 0.819 seconds, Client IP: 127.0.0.1
2024-11-09 13:20:20,608 - Method: GET, Path: /, Status Code: 200, Response Time: 1.036 seconds, Client IP: 127.0.0.1
2024-11-09 13:24:10,207 - Method: GET, Path: /, Status Code: 200, Response Time: 1.067 seconds, Client IP: 127.0.0.1
2024-11-09 13:25:20,390 - Method: POST, Path: /upload/672e1e4105a2915a069e4ae7, Status Code: 422, Response Time: 0.197 seconds, Client IP: 127.0.0.1
2024-11-09 13:27:06,938 - Method: POST, Path: /upload/672e1e4105a2915a069e4ae7, Status Code: 422, Response Time: 0.170 seconds, Client IP: 127.0.0.1
2024-11-09 13:27:51,394 - Method: POST, Path: /upload/672e1e4105a2915a069e4ae7, Status Code: 422, Response Time: 0.124 seconds, Client IP: 127.0.0.1
2024-11-09 13:29:53,718 - Method: POST, Path: /upload/672e1e4105a2915a069e4ae7, Status Code: 422, Response Time: 0.160 seconds, Client IP: 127.0.0.1
2024-11-09 13:29:54,947 - Method: POST, Path: /upload/672e1e4105a2915a069e4ae7, Status Code: 422, Response Time: 0.119 seconds, Client IP: 127.0.0.1
2024-11-09 13:29:55,932 - Method: POST, Path: /upload/672e1e4105a2915a069e4ae7, Status Code: 422, Response Time: 0.118 seconds, Client IP: 127.0.0.1
2024-11-09 13:29:56,752 - Method: POST, Path: /upload/672e1e4105a2915a069e4ae7, Status Code: 422, Response Time: 0.114 seconds, Client IP: 127.0.0.1
2024-11-09 13:29:57,491 - Method: POST, Path: /upload/672e1e4105a2915a069e4ae7, Status Code: 422, Response Time: 0.129 seconds, Client IP: 127.0.0.1
2024-11-09 13:29:58,784 - Method: POST, Path: /upload/672e1e4105a2915a069e4ae7, Status Code: 422, Response Time: 0.119 seconds, Client IP: 127.0.0.1
2024-11-09 14:33:48,312 - Method: POST, Path: /upload/672e1e4105a2915a069e4ae7, Status Code: 401, Response Time: 0.676 seconds, Client IP: 127.0.0.1
